region,bs_rep,theta,shape,scale,mean_gamma,alpha,omega
intron-enhancers,68,0.000493991439936216,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,69,0.00047727274059994,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,70,0.000484925647801825,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,71,0.000477735768584769,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,72,0.000481997466312715,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,73,0.000487595203225761,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,74,0.000486690829302303,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,75,0.000502460357972015,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,76,0.000490795383981657,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,77,0.000488458591961592,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,78,0.000474932082584883,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,79,0.00048245237735559,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,80,0.000474560610285596,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,81,0.000468793995666647,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,82,0.000482053887120264,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,83,0.000484935623916129,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,84,0.000481159864573926,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,85,0.000482189163005048,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,86,0.000482972784414856,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,87,0.000481548723745905,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,88,0.000472934368231088,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,89,0.000491284682065684,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,90,0.000487917099482817,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,91,0.000479553936235706,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,92,0.000502626416842155,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,93,0.000492638850184704,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,94,0.000479572390590763,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,95,0.000474453391400408,0.377315818252366,0.1,0.0377315818252366,-0.4343562030144954,-0.2972410791613904
intron-enhancers,96,0.000481473416266215,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
